Feature,Importance
Cultivos,0.11083135878031145
ATB_1,0.052058599365064136
Hco3_24,0.050045975639862586
Hipotiroidismo,0.04831676666155717
pH24,0.04801750863294392
capilar24,0.047428655812170845
SOFA,0.04419030290192865
Hco3,0.040464495006352776
ATB_2,0.036086029804301895
capilar,0.03237085973505949
Glucosilada,0.03226245197922644
Dias_iot,0.019251528419917608
NL_24h,0.01836879644879454
Wbc_24h,0.018221276070234414
L_inicial,0.015385319887107663
ARA_2,0.015235701698255846
N_inicial,0.015217851939001483
Gluco_2,0.015006191175859787
N_24h,0.014957707793950817
ph,0.013145215900814494
Gluco_1,0.012773541988986172
Wbc_inicial,0.012578684778544976
Gluco_3,0.012558497543486154
Procal,0.012129954342077493
Tas_inicial,0.011549671367835542
Edad,0.011252309146152436
Norepi_24,0.010865979714615455
IMC,0.008599926788198757
Norepi_0,0.008173198860783529
Sato2_inicial,0.008052453162324764
Lactato_24h,0.00796023861548037
PCR_24h,0.007691099236005208
Enf_coronaria,0.007473444626314299
Fr_inicial,0.0071720385700986475
Tam_12h,0.007158340560483937
Tad_12h,0.0071563336829640915
ACV,0.006738044549796792
L_24h,0.00623309087984654
Norepi,0.006030773794957797
fctad_inicial,0.005961177622683006
Peso,0.005796708390355006
Sexo,0.005766062564905373
Lactato_inicial,0.005762164122255429
Fc_inicial,0.005456550243326914
Tam_inicial,0.005366218211460286
Tas_24h,0.005303472154010445
PCR_inicial,0.005289606429680363
Fc_12h,0.005043807249136051
Tas_12h,0.005038685003991306
Proced,0.005022005586310737
CV_gluc,0.00487592679064489
s_index12,0.004379017067614587
NL,0.0038408840768301812
Fc_24h,0.003794721925137615
Tad_24h,0.003640315588728308
Alt_C,0.003453340967137315
Calcio antagonista,0.0034402055320577572
s_index0,0.003431917181004323
IRA,0.0032342610502878837
Talla,0.003070036285859873
HTA,0.003011036038559514
Tabaco,0.0029190618691796806
IOT,0.0028895293015636855
s_index24,0.0028439636444724577
fctad_12h,0.0027268450122091997
Tad_inicial,0.0024278937099477546
Tiazidas,0.0023998786378564437
fctad_24h,0.0023094624233294275
Insulina_basal,0.002138050540299613
IECA,0.0020305788435217966
Fib_aur,0.001771851420283223
Obesidad,0.001732166983698828
Tam_24h,0.0016583238797195205
ERC,0.0016240865393126597
Dialisis,0.0015670730220762818
DM_2,0.0014919762483456688
Hospital,0.0012053554810731323
Autoinmune,0.001109289842783585
Dosis_basal,0.0009579037147686582
Metformina,0.0008437224658613835
Insulina_preprandial,0.0008066236595648358
Dislipidemia,0.0007980809295959431
diur_asa,0.0007692653451852286
Vasopresina,0.0007562490159262977
Reg_salud,0.0006806704557650083
Beta_bloqueador,0.0002701383583736524
DDPIV,0.00014270294611602933
Dosis_preprandial,0.00014091976552370374
GLP1a,0.0
Otros_antidiabeticos,0.0
Otros_antihta,0.0
iSGLT2,0.0
ATB_3,0.0
